job_id,role_category,seniority,city,country_code,source_name,salary_min,salary_max,salary_currency,salary_period,salary_type,salary_midpoint,job_title
24436,data_analyst,unknown,London,GB,adzuna_uk,104000.0,123500.0,GBP,annual,,113750.0,Data Analyst
24437,data_analyst,unknown,London,GB,adzuna_uk,91000.0,104000.0,GBP,annual,,97500.0,Data Analyst
24438,data_analyst,unknown,London,GB,adzuna_uk,45000.0,55000.0,GBP,annual,,50000.0,Data Analyst
24439,data_analyst,unknown,London,GB,adzuna_uk,91000.0,104000.0,GBP,annual,,97500.0,Data Analyst
24440,data_analyst,unknown,London,GB,adzuna_uk,91000.0,104000.0,GBP,annual,,97500.0,Data Analyst
24441,data_analyst,unknown,London,GB,adzuna_uk,30000.0,39000.0,GBP,annual,,34500.0,Data Analyst
24442,data_analyst,unknown,London,GB,adzuna_uk,40000.0,60000.0,GBP,annual,,50000.0,Data Analyst
24443,data_analyst,unknown,London,GB,adzuna_uk,75814.14,75814.14,GBP,annual,,75814.14,"Data Analyst to join their Data, Intelligence & Analytics team"
24444,data_analyst,junior,London,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24445,data_analyst,junior,London,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24446,data_analyst,junior,Kingston Upon Thames,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24447,data_analyst,junior,Heathrow,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24448,data_analyst,junior,London,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24449,data_analyst,junior,Enfield,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24450,data_analyst,junior,Twickenham,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24451,data_analyst,junior,Harrow,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24452,data_analyst,junior,Uxbridge,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24453,data_analyst,junior,Bromley,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24454,data_analyst,junior,Harrow,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24455,data_analyst,junior,Enfield,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24456,data_analyst,senior,London,GB,adzuna_uk,130000.0,130000.0,GBP,annual,,130000.0,Senior Data Analyst
24457,data_analyst,unknown,London,GB,adzuna_uk,78000.0,104000.0,GBP,annual,,91000.0,Remediation Data Analyst
24458,data_analyst,senior,London,GB,adzuna_uk,45000.0,55000.0,GBP,annual,,50000.0,Senior Data Analyst
24459,data_analyst,senior,London,GB,adzuna_uk,50000.0,55000.0,GBP,annual,,52500.0,Senior Data Analyst
24460,data_analyst,unknown,London,GB,adzuna_uk,75400.0,104000.0,GBP,annual,,89700.0,Remediation Data Analyst
24461,data_analyst,unknown,London,GB,adzuna_uk,130000.0,156000.0,GBP,annual,,143000.0,Technical Data Analyst
24462,data_analyst,junior,London,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24463,data_analyst,junior,Twickenham,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24464,data_analyst,junior,Bromley,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24465,data_analyst,junior,Enfield,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Data Analyst Trainee
24466,data_analyst,senior,London,GB,adzuna_uk,48338.52,48338.52,GBP,annual,,48338.52,Senior Data Analyst
24467,data_analyst,senior,London,GB,adzuna_uk,48177.81,48177.81,GBP,annual,,48177.81,Senior Data Analyst
24468,data_analyst,unknown,London,GB,adzuna_uk,45181.41,45181.41,GBP,annual,,45181.41,Data Analyst
24469,data_analyst,unknown,London,GB,adzuna_uk,44228.03,44228.03,GBP,annual,,44228.03,Data Analyst
24470,data_analyst,unknown,London,GB,adzuna_uk,53957.82,53957.82,GBP,annual,,53957.82,Data Analyst
24471,data_analyst,unknown,Hackney,GB,adzuna_uk,98800.0,104000.0,GBP,annual,,101400.0,Data Analyst
24472,data_analyst,unknown,London,GB,adzuna_uk,40000.0,85000.0,GBP,annual,,62500.0,Data Analyst
24473,data_analyst,unknown,London,GB,adzuna_uk,50452.18,50452.18,GBP,annual,,50452.18,Data Analyst
24474,data_analyst,unknown,London,GB,adzuna_uk,56635.39,56635.39,GBP,annual,,56635.39,Data Analyst
24475,data_analyst,unknown,London,GB,adzuna_uk,51568.59,51568.59,GBP,annual,,51568.59,Data Analyst
24476,data_analyst,unknown,Stratford,GB,adzuna_uk,29000.0,35000.0,GBP,annual,,32000.0,Data Analyst
24477,data_analyst,unknown,Thornton Heath,GB,adzuna_uk,29000.0,35000.0,GBP,annual,,32000.0,Data Analyst
24478,data_analyst,unknown,Forest Hill,GB,adzuna_uk,29000.0,35000.0,GBP,annual,,32000.0,Data Analyst
24479,data_analyst,unknown,Tooting,GB,adzuna_uk,29000.0,35000.0,GBP,annual,,32000.0,Data Analyst
13779,other,junior,Lahore,PK,chisel_pk,,,PKR,monthly,,,Online Full Time Telesales Executive Jobs in Pakistan
24480,data_analyst,unknown,Monument,GB,adzuna_uk,29000.0,35000.0,GBP,annual,,32000.0,Data Analyst
24481,data_analyst,unknown,Covent Garden,GB,adzuna_uk,29000.0,35000.0,GBP,annual,,32000.0,Data Analyst
24482,data_analyst,unknown,Marylebone,GB,adzuna_uk,100000.0,100000.0,GBP,annual,,100000.0,Data Analyst
24483,data_analyst,unknown,London,GB,adzuna_uk,50000.0,50000.0,GBP,annual,,50000.0,Data Analyst
24484,data_analyst,unknown,Farringdon,GB,adzuna_uk,45004.92,45004.92,GBP,annual,,45004.92,Data Analyst
24485,data_analyst,unknown,London,GB,adzuna_uk,50000.0,54000.0,GBP,annual,,52000.0,Data Analyst
24486,data_analyst,unknown,Central London,GB,adzuna_uk,100000.0,100000.0,GBP,annual,,100000.0,Data Analyst
24487,data_analyst,unknown,London,GB,adzuna_uk,68126.71,68126.71,GBP,annual,,68126.71,Data Analyst
13780,other,junior,Islamabad,PK,chisel_pk,,,PKR,monthly,,,Full Time Wordpress Developer Job in Pakistan
24488,data_analyst,unknown,Farringdon,GB,adzuna_uk,78000.0,104000.0,GBP,annual,,91000.0,Data Analyst
24489,data_analyst,unknown,Waterloo,GB,adzuna_uk,34741.57,34741.57,GBP,annual,,34741.57,Data Analyst
24490,data_analyst,unknown,Farringdon,GB,adzuna_uk,45000.0,60000.0,GBP,annual,,52500.0,Data Analyst
24491,data_analyst,unknown,London,GB,adzuna_uk,85000.0,85000.0,GBP,annual,,85000.0,Data Analyst
24492,data_analyst,unknown,London,GB,adzuna_uk,51993.86,51993.86,GBP,annual,,51993.86,Data Analyst
24493,data_analyst,unknown,London,GB,adzuna_uk,48699.99,48699.99,GBP,annual,,48699.99,Data Analyst
24494,data_analyst,unknown,Hackney,GB,adzuna_uk,98800.0,104000.0,GBP,annual,,101400.0,Data Analyst
24495,data_analyst,unknown,London,GB,adzuna_uk,59407.18,59407.18,GBP,annual,,59407.18,Data Analyst
24496,data_analyst,unknown,London,GB,adzuna_uk,46847.5,46847.5,GBP,annual,,46847.5,Data Analyst
24497,data_analyst,unknown,London,GB,adzuna_uk,48310.73,48310.73,GBP,annual,,48310.73,Data Analyst
24498,data_analyst,unknown,London,GB,adzuna_uk,45972.38,45972.38,GBP,annual,,45972.38,Data Analyst
24499,data_analyst,senior,London,GB,adzuna_uk,43000.0,50000.0,GBP,annual,,46500.0,Senior Planning & Data Analyst
24500,data_analyst,unknown,London,GB,adzuna_uk,44332.88,44332.88,GBP,annual,,44332.88,Data Analyst - Remote
24501,data_analyst,senior,Bankside,GB,adzuna_uk,61001.33,61001.33,GBP,annual,,61001.33,Senior Data Analyst
24502,data_analyst,unknown,London,GB,adzuna_uk,42846.06,42846.06,GBP,annual,,42846.06,Claims Data Analyst
24503,data_analyst,unknown,London,GB,adzuna_uk,40730.16,40730.16,GBP,annual,,40730.16,Remediation Data Analyst
24504,data_analyst,senior,London,GB,adzuna_uk,57901.32,57901.32,GBP,annual,,57901.32,Senior Data Analyst
13781,other,mid,Lahore,PK,chisel_pk,,,PKR,monthly,,,Full Time Web Developer Job in Pakistan
24505,data_analyst,senior,London,GB,adzuna_uk,68975.41,68975.41,GBP,annual,,68975.41,Senior Data Analyst
24506,data_analyst,senior,Kings Cross,GB,adzuna_uk,49626.14,49626.14,GBP,annual,,49626.14,Senior Data Analyst
24507,data_analyst,unknown,London,GB,adzuna_uk,35000.0,38000.0,GBP,annual,,36500.0,Royalty Data Analyst
24508,data_analyst,unknown,London,GB,adzuna_uk,39729.89,39729.89,GBP,annual,,39729.89,People Data Analyst
24509,data_analyst,senior,London,GB,adzuna_uk,54734.36,54734.36,GBP,annual,,54734.36,Senior Investment Data Analyst - Universities Superannuation Scheme Limited
24510,data_analyst,junior,Croydon,GB,adzuna_uk,30000.0,50000.0,GBP,annual,,40000.0,Trainee Data Analyst
24511,data_analyst,senior,The City,GB,adzuna_uk,65000.0,75000.0,GBP,annual,,70000.0,Senior Data Analyst
24512,data_analyst,unknown,Farringdon,GB,adzuna_uk,370.0,420.0,GBP,annual,,395.0,Systems Data Analyst
24513,data_analyst,unknown,London,GB,adzuna_uk,65737.56,65737.56,GBP,annual,,65737.56,Procurement Data Analyst
24514,data_analyst,unknown,Farringdon,GB,adzuna_uk,60000.0,70000.0,GBP,annual,,65000.0,Finance Data Analyst
24515,data_analyst,unknown,London,GB,adzuna_uk,60000.0,70000.0,GBP,annual,,65000.0,Finance Data Analyst
24516,data_analyst,unknown,Farringdon,GB,adzuna_uk,130000.0,156000.0,GBP,annual,,143000.0,Technical Data Analyst
24517,data_analyst,senior,London,GB,adzuna_uk,70000.0,75000.0,GBP,annual,,72500.0,Senior Data Analyst
24518,data_analyst,unknown,Farringdon,GB,adzuna_uk,37700.0,42350.0,GBP,annual,,40025.0,CAD Data Analyst
24519,data_analyst,unknown,London,GB,adzuna_uk,45835.7,45835.7,GBP,annual,,45835.7,Remediation Data Analyst
24520,data_analyst,junior,London,GB,adzuna_uk,35000.0,35000.0,GBP,annual,,35000.0,Graduate Data Analyst
13782,other,mid,Peshawar,PK,chisel_pk,,,PKR,monthly,,,Full Time Senior PHP Developer Job in Pakistan
24521,data_analyst,unknown,Turnpike Lane,GB,adzuna_uk,31000.0,31000.0,GBP,annual,,31000.0,Energy Data Analyst
24522,data_analyst,senior,Fenchurch St,GB,adzuna_uk,41566.38,41566.38,GBP,annual,,41566.38,Senior Data Analyst
24523,data_analyst,junior,Fenchurch St,GB,adzuna_uk,41601.36,41601.36,GBP,annual,,41601.36,Associate Data Analyst
24524,data_analyst,senior,West London,GB,adzuna_uk,70000.0,70000.0,GBP,annual,,70000.0,Senior Data Analyst
24525,data_analyst,junior,London,GB,adzuna_uk,30000.0,30000.0,GBP,annual,,30000.0,Junior Data Analyst
24526,data_analyst,senior,London,GB,adzuna_uk,43563.64,43563.64,GBP,annual,,43563.64,Lead Data Analyst
24527,data_analyst,senior,Farringdon,GB,adzuna_uk,70000.0,75000.0,GBP,annual,,72500.0,Senior Data Analyst
24528,data_analyst,senior,Hammersmith,GB,adzuna_uk,45907.36,45907.36,GBP,annual,,45907.36,Senior Data Analyst
24529,data_analyst,unknown,London,GB,adzuna_uk,57897.95,57897.95,GBP,annual,,57897.95,Data Analyst III
24530,data_analyst,unknown,Charing Cross,GB,adzuna_uk,47965.09,47965.09,GBP,annual,,47965.09,Business Data Analyst
24531,marketing_analyst,unknown,Waterloo,GB,adzuna_uk,41811.09,41811.09,GBP,annual,,41811.09,Marketing Data Analyst
24532,data_analyst,unknown,London,GB,adzuna_uk,50572.32,50572.32,GBP,annual,,50572.32,Data Analyst - Pitstops
24533,data_analyst,senior,Piccadilly,GB,adzuna_uk,65000.0,75000.0,GBP,annual,,70000.0,Senior Data Analyst
24534,data_analyst,senior,St Pancras,GB,adzuna_uk,50482.02,50482.02,GBP,annual,,50482.02,Senior Data Analyst
24535,data_analyst,senior,London,GB,adzuna_uk,54939.83,54939.83,GBP,annual,,54939.83,Senior Data Analyst
24536,data_analyst,senior,London,GB,adzuna_uk,68649.71,68649.71,GBP,annual,,68649.71,Senior Data Analyst
24537,data_analyst,junior,West London,GB,adzuna_uk,65000.0,65000.0,GBP,annual,,65000.0,Graduate Data Analyst
24538,data_analyst,senior,London,GB,adzuna_uk,41288.12,41288.12,GBP,annual,,41288.12,Senior Data Analyst
24539,data_analyst,unknown,Liverpool Street,GB,adzuna_uk,,75000.0,GBP,annual,,,Data Analyst/Engineer
24540,data_analyst,unknown,London,GB,adzuna_uk,63934.03,63934.03,GBP,annual,,63934.03,CRM Data Analyst
24541,data_analyst,unknown,Liverpool Street,GB,adzuna_uk,70001.0,80000.0,GBP,annual,,75000.5,Data Analyst/Engineer
24542,data_analyst,unknown,London,GB,adzuna_uk,60418.48,60418.48,GBP,annual,,60418.48,"Data Analyst, Product"
24543,data_analyst,senior,London,GB,adzuna_uk,55594.23,55594.23,GBP,annual,,55594.23,Senior Data Analyst
24544,data_analyst,unknown,London,GB,adzuna_uk,40000.0,40000.0,GBP,annual,,40000.0,CAD Data Analyst
24545,data_analyst,unknown,Liverpool Street,GB,adzuna_uk,62993.51,62993.51,GBP,annual,,62993.51,Data Analyst - FinCrime
24546,data_analyst,unknown,Farringdon,GB,adzuna_uk,40831.94,40831.94,GBP,annual,,40831.94,Remediation Data Analyst
24547,data_analyst,unknown,Farringdon,GB,adzuna_uk,104000.0,117000.0,GBP,annual,,110500.0,Data Analyst - Revenue
24548,data_analyst,unknown,London,GB,adzuna_uk,54986.9,54986.9,GBP,annual,,54986.9,Data Analyst - Fraud
24549,data_analyst,senior,London,GB,adzuna_uk,71829.23,71829.23,GBP,annual,,71829.23,Lead Data Analyst
24550,data_analyst,unknown,Clapham Junction,GB,adzuna_uk,37033.21,37033.21,GBP,annual,,37033.21,Commercial Data Analyst
24551,data_analyst,senior,London,GB,adzuna_uk,60622.4,60622.4,GBP,annual,,60622.4,Senior Data Analyst
24552,data_analyst,senior,London,GB,adzuna_uk,54048.93,54048.93,GBP,annual,,54048.93,Senior Data Analyst
24553,data_analyst,senior,London,GB,adzuna_uk,65332.01,65332.01,GBP,annual,,65332.01,Lead Data Analyst
24554,data_analyst,unknown,London,GB,adzuna_uk,50537.99,50537.99,GBP,annual,,50537.99,Data Analyst (Payments)
24555,data_analyst,senior,Tower Bridge,GB,adzuna_uk,51911.17,51911.17,GBP,annual,,51911.17,Senior Data Analyst
24556,data_analyst,senior,London,GB,adzuna_uk,40000.0,43000.0,GBP,annual,,41500.0,Senior Data Analyst
24557,data_analyst,unknown,London,GB,adzuna_uk,40462.33,40462.33,GBP,annual,,40462.33,Interim data analyst
24558,data_analyst,senior,South East London,GB,adzuna_uk,40000.0,40000.0,GBP,annual,,40000.0,Senior Data Analyst
24559,data_analyst,unknown,London,GB,adzuna_uk,72952.31,72952.31,GBP,annual,,72952.31,Market Data Analyst
24560,data_analyst,senior,Clerkenwell,GB,adzuna_uk,45763.81,45763.81,GBP,annual,,45763.81,Senior Data Analyst
24561,data_analyst,unknown,London,GB,adzuna_uk,34906.23,34906.23,GBP,annual,,34906.23,Market Data Analyst
24562,data_analyst,unknown,East London,GB,adzuna_uk,35000.0,35000.0,GBP,annual,,35000.0,Data Analyst - Performance
24563,data_analyst,senior,London,GB,adzuna_uk,73277.66,73277.66,GBP,annual,,73277.66,Principal Data Analyst
24564,product_analyst,unknown,London,GB,adzuna_uk,36200.6,36200.6,GBP,annual,,36200.6,Product Data Analyst
